episode,reward
0,338.0
50,70.7
100,62.5
150,34.0
200,64.1
250,47.9
300,36.3
350,36.1
400,80.1
450,67.3
500,47.3
550,8.5
600,-15.3
650,-45.9
700,-86.9
750,-186.8
800,-109.4
850,-133.8
900,-56.3
950,-111.3
1000,-153.0
1050,-72.4
1100,13.2
1150,-18.5
1200,72.4
1250,132.3
1300,161.4
1350,72.3
1400,122.3
1450,4.7
1500,158.2
1550,138.4
1600,165.6
1650,91.4
1700,17.8
1750,42.3
1800,5.1
1850,-5.9
1900,-121.3
1950,-102.8
2000,-27.0
2050,-168.8
2100,-200.0
2150,-170.3
2200,-157.3
2250,-122.0
2300,-193.0
2350,161.0
2400,-48.9
2450,-96.1
2500,-113.8
2550,-97.9
2600,16.3
2650,30.3
2700,84.3
2750,45.5
2800,-119.2
2850,-72.0
2900,-200.0
2950,-116.7
